proteina,grasas_totales,grasas_trans,hidratos_disp,azucares,azucares_añadidos,fibra,sodio,categoria
0,0,0,0,0,0,0,0,0
0,0,0,43,0,0,0,90,0
0,614,0,7,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
9,0,0,9,0,0,9,0,0
0,18,0,0,0,0,9,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
76.7,21.4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,0
5,0,0.009,479,0,0,0,0,0
0,0.2074,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.8,28.6,0,0,0,0,0.7,316,0
0,0,0,0,0,0,99,0,0
0,6,0,5,0,0,9,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
0,90,0,0,0,0,0,0.095,0
0,756,0,406,0,0,0,0,0
9,9,0,0,9,0,0,0,0
0,9,0,9,0,0,0,0,0
19,0,9,21,0,0,0,0,0
19,0,0,219,0,0,0,0,0
0,21,0,60,0,0,0,0,0
10,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,183.59,0.11,63,0,0,0,0,0
0,158,0.355,519,0,0,49,0.19,0
99,52.59,0.055,579,0,0,69,0,0
79,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,729,0,0,0,1.057,0
0,9,0,72,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.09,0.09,0,0,0,0,0,0,0
0,111,180,0,0,0,0,0,0
0,85,100,556,0,0,0,0,0
0,0,0,0,0,0,0,0,0
7,370,1,40,0,0,5,0,0
199,867,0.26,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,9,0,139,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,139,0,0,0,0,0,0.13,0
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
89,0,10,0,0,0,0,0,1
0,0,0.01,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
89,1207,78,1589,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,53.9,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,690,0.008,0,0,0,0,0,1
0,1766,0,370,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,1.59,0,0,0,0,1
0,0,0,8.5,0,0,0,0.015,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
3.59,6,0,0,0,0,0,50,1
0,198,0,0,0,0,0,34,1
0,0,0,0,0,0,0,0,1
0,9,0,90,0,0,0,35,1
0,0,0,0,0,0,0,735,1
0,0,0,0,0,0,0,35,1
0,0,6,0,0,0,0,35,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1
19,19,0,6,0,0,1,0.136,1
0,0,0,0,0,0,0,0,1
0.7,2257.4,0.171,55.4,0,0,5.4,298.6,1
8,0,0,0,0,0,0,0,1
25,0,0,20,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,3158,0,0,0,0,0,0,2
0,65.4,0,0,0,0,0,0,2
0,0,0,0,0,0,569,0,2
0,0,0,0,0,0,529,0.771,2
0,18,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
18891,0,0,0,0,0,0,0.457,2
9,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,1.28,0,0,119,0,0,0.025,2
0,0,0,0,0,0,0,0,2
0,0,0,129,0,0,0,0.012,2
0,0,0,97,0,0,0,0,2
0,0,0,12.79,0,0,0,0,2
189,149.99,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,7,0,0,0,0,0,35,2
2,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2
0,291,0,0,0,0,0,0,2
31.2,0,0,0,0,0,0,46,2
0,0,0,0,0,0,0,0,2
0,0,696,0,0,0,0,0,2
0,58.5,0,13,0,0,0,0,2
150,0,0,5.99,0,0,0,0.809,2
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
25,4208,0,11.698,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,7,0,61,0,0,50,0.03,3
12,0,0,1,0,0,59,0,3
12,22,0,619,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,37.7,2,10,0,0,0.8,0,3
25,16,0,9.9,0,0,1,200,3
1.6,0,0,0,0,0,0,0,3
0,0,0,0,0,0,1,22,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,29,0.005,3
0,89,0.08,51,0,0,0,0,3
0,4720,0.12,0,0,0,0,0.165,3
0,1648,0.045,0,0,0,0,0,3
0,5.019,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
5.89,22.19,0,0,0,0,0,0,3
73,28.44,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
0,90,0,494,0,0,29,0.027,3
0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,3
5.6,15.19,0.0302,0,0,2,5.29,0,3
1,940,8,2,0,11,708,28,3
0,0,0,0,0,0,0,0,4
0,99,0.315,60,0,0,29,0,4
0,0,0,0,0,0,1,0,4
0,0,0,60,0,0,39,0.28,4
0,0,0,0,0,0,0,0,4
29,159,0,0,0,0,0,0,4
0,2740,0.012,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0.58,0,108,0,0,8,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0.2,0,0,0,586,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,9,29,0,0,0,0,4
0,7,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
220,0,0.001,0,0,0,0,0,4
0,0,0,78,0,0,0,0,4
29,0,0,78,0,0,0,0,4
1,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
7,4.29,151,72.19,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,20,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,4
8,9,8,0,0,0,9,0,4
