proteina,grasas_totales,grasas_trans,hidratos_disp,azucares,azucares_añadidos,fibra,sodio,categoria
29.7,6.42,0.52,14.0,15.5,18.22,7.89,576.77,0
27.81,15.69,0.67,23.23,0.79,18.54,3.44,947.16,0
8.08,3.19,0.87,12.22,7.12,10.8,4.35,803.16,0
12.17,8.91,0.98,36.52,17.28,14.31,1.89,806.25,0
28.0,18.14,0.99,8.13,16.46,11.03,9.21,766.12,0
19.96,6.86,0.91,27.64,1.36,11.41,9.91,647.79,0
26.62,13.68,0.16,7.88,1.88,13.63,3.69,554.99,0
20.54,1.2,0.68,-5.55,17.86,12.02,6.25,756.58,0
19.76,7.7,0.64,1.14,14.26,18.37,0.28,916.76,0
4.18,2.5,0.25,22.79,18.47,13.94,4.14,628.67,0
10.01,12.45,0.27,8.53,0.06,13.71,4.97,755.1,0
19.46,4.13,0.33,0.18,18.15,18.04,4.32,581.95,0
13.01,18.71,0.14,17.15,15.73,18.84,1.02,583.08,0
10.24,10.11,0.5,5.87,2.08,12.64,8.52,963.29,0
26.16,2.59,0.55,8.81,7.28,13.26,7.92,789.29,0
26.65,10.07,0.91,25.33,1.79,13.46,0.72,841.82,0
14.12,15.31,0.71,8.62,9.34,12.9,4.23,549.16,0
0.32,19.68,0.59,-1.18,17.91,11.57,8.28,583.28,0
5.56,7.46,0.36,11.55,3.5,13.09,8.06,822.21,0
19.97,15.04,0.35,11.5,0.03,13.38,2.5,842.6,0
12.18,2.79,0.1,7.52,15.1,1.67,5.46,186.53,1
19.16,2.31,0.1,11.69,19.54,2.92,7.58,293.66,1
14.98,4.71,0.1,5.43,12.15,4.51,7.53,298.07,1
10.87,1.25,0.0,9.74,16.98,2.69,3.5,70.15,1
12.1,3.02,0.0,8.12,1.35,3.59,7.17,235.56,1
13.81,1.74,0.1,10.99,12.22,0.5,4.45,216.68,1
14.12,1.1,0.1,13.97,5.34,0.31,9.97,238.62,1
15.38,2.76,0.0,14.18,6.04,2.62,8.03,144.17,1
19.43,2.37,0.1,14.77,16.71,1.42,6.68,111.71,1
16.28,4.46,0.0,13.41,10.83,4.79,7.38,145.48,1
13.66,1.54,0.1,8.98,4.92,2.9,3.16,147.41,1
14.11,4.31,0.0,12.88,2.32,2.06,7.19,287.63,1
18.38,4.29,0.0,5.79,1.71,1.99,3.15,89.69,1
12.79,2.39,0.0,7.6,14.51,4.72,9.95,274.08,1
11.55,2.19,0.1,13.52,13.86,0.74,4.84,50.57,1
19.71,1.95,0.1,13.02,3.8,1.98,5.75,161.21,1
10.3,2.17,0.0,12.63,5.06,3.48,7.22,233.46,1
13.39,3.11,0.0,5.92,13.93,1.5,7.42,111.73,1
15.97,2.8,0.1,6.35,19.79,3.54,9.89,52.01,1
11.4,1.87,0.1,7.45,6.44,4.74,7.9,148.14,1
28.48,6.05,0.1,17.62,11.28,3.78,4.23,237.75,2
35.76,4.35,0.1,18.49,11.8,3.93,3.18,275.43,2
30.64,3.6,0.1,10.07,0.23,4.12,4.21,232.05,2
28.03,8.48,0.0,12.77,19.23,3.21,4.36,281.01,2
31.03,8.54,0.1,18.89,2.18,0.25,1.19,191.9,2
28.85,9.85,0.0,14.33,1.63,4.82,1.84,295.17,2
30.64,6.07,0.1,12.8,17.45,2.28,3.73,235.88,2
31.77,9.92,0.1,11.01,3.5,1.91,2.43,252.79,2
27.84,5.64,0.0,14.51,16.05,4.4,1.5,212.63,2
33.86,8.04,0.0,20.01,3.8,2.28,1.1,257.3,2
37.39,6.21,0.0,12.0,6.77,4.39,2.93,171.77,2
34.59,8.44,0.1,13.71,6.88,2.71,4.86,287.54,2
25.88,4.87,0.1,15.68,11.14,4.14,3.0,280.98,2
25.62,3.09,0.1,12.09,10.56,4.44,3.64,206.94,2
41.82,4.55,0.0,16.55,15.95,4.44,1.93,180.13,2
36.35,6.94,0.0,7.57,12.75,2.92,4.1,168.17,2
35.37,7.64,0.0,18.39,4.95,3.04,1.37,186.6,2
33.14,6.3,0.1,15.85,5.35,1.81,3.29,164.83,2
34.88,9.86,0.1,19.76,17.57,3.3,4.83,271.05,2
35.0,9.33,0.0,15.44,4.46,3.56,4.4,191.22,2
5.56,3.25,0.1,29.03,1.56,1.14,8.95,113.78,3
11.01,7.36,0.1,29.83,6.15,1.08,5.79,261.97,3
8.19,7.24,0.0,20.49,12.28,4.88,9.8,148.62,3
5.21,4.85,0.0,25.41,1.55,1.73,9.91,293.49,3
14.7,2.1,0.1,23.53,19.66,2.48,8.55,137.62,3
8.17,6.02,0.1,33.41,5.63,2.25,9.85,266.56,3
10.05,7.01,0.1,40.23,6.88,2.52,7.86,293.87,3
8.05,3.91,0.1,21.49,4.99,3.32,9.83,152.72,3
6.41,6.31,0.0,24.4,19.41,2.52,8.77,232.96,3
7.19,5.36,0.0,31.35,13.36,1.2,8.01,172.96,3
12.29,2.48,0.1,39.06,15.14,2.5,7.2,245.93,3
9.31,7.91,0.1,44.05,9.94,1.97,5.78,151.27,3
13.84,5.17,0.0,34.27,18.43,0.91,7.16,259.94,3
9.82,5.6,0.1,41.75,17.08,2.02,8.05,227.79,3
5.43,4.14,0.1,30.53,19.68,4.49,5.24,246.61,3
5.66,5.63,0.0,37.89,0.41,0.91,8.98,222.2,3
7.83,5.69,0.1,25.16,0.54,0.36,5.75,160.01,3
13.54,2.6,0.1,39.09,11.68,4.89,6.27,226.14,3
5.61,6.51,0.1,26.31,19.2,3.22,9.07,298.14,3
12.58,6.37,0.1,39.28,4.04,0.98,8.73,234.1,3
14.51,3.91,0.1,12.99,1.72,2.84,5.88,265.61,4
15.77,14.91,0.0,5.2,14.84,3.27,7.99,205.78,4
15.3,6.73,0.0,21.01,12.38,3.12,4.99,253.54,4
14.86,13.24,0.1,9.72,11.02,2.11,4.9,231.62,4
10.56,4.02,0.1,14.62,5.59,2.4,3.06,206.33,4
18.39,8.44,0.0,15.97,12.57,1.33,6.19,206.4,4
